unique_id,ds,cutoff,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoTFT,AutoTFT-median,AutoTFT-lo-90,AutoTFT-lo-80,AutoTFT-hi-80,AutoTFT-hi-90,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,y
FOODS_3_001_CA_1,2016-02-29,2016-02-28,0.643,0.0,1.9000015,0.0,0.0,0.099975586,0.758,1.0,0.0,0.099998474,0.9000244,3.8000488,0.75,1.0,0.0,0.0,2.0,2.0499954,0.0
FOODS_3_001_CA_1,2016-03-01,2016-02-28,0.69500005,0.0,0.099998474,0.099998474,0.099975586,0.0,0.78400004,1.5,0.95000076,2.7000046,3.7000732,0.0,0.74,1.0,0.0,0.0,2.0,3.0,1.0
FOODS_3_001_CA_1,2016-03-02,2016-02-28,0.69000006,1.0,0.0,0.0,0.19995117,0.0,0.794,0.5,1.0,1.2999954,0.9000244,0.099975586,0.69,0.0,0.0,0.0,2.0,3.0,1.0
FOODS_3_001_CA_1,2016-03-03,2016-02-28,0.684,1.5,1.0,1.800003,0.0,0.0,0.73,1.0,0.95000076,0.0,1.8000488,1.9000244,0.61,0.0,0.0,0.0,2.0,2.0,0.0
FOODS_3_001_CA_1,2016-03-04,2016-02-28,0.65500003,0.5,0.0,1.800003,0.0,1.9500122,0.81200004,1.0,1.0499992,2.0999985,0.099975586,0.0,0.64,0.0,0.0,0.0,2.0,2.0,0.0
FOODS_3_001_CA_1,2016-03-05,2016-02-28,0.698,0.5,0.0,0.9000015,1.0,1.0,0.82900006,1.0,0.049999237,0.0,1.0999756,1.0,0.55,0.0,0.0,0.0,2.0,2.0,1.0
FOODS_3_001_CA_1,2016-03-06,2016-02-28,0.609,0.5,0.95000076,0.9000015,3.7000732,0.0,0.78900003,0.5,0.049999237,1.0,0.0,1.9500122,0.58,0.0,0.0,0.0,1.0,2.0,1.0
FOODS_3_001_CA_1,2016-03-07,2016-02-28,0.66300005,0.0,0.95000076,0.099998474,0.099975586,2.8500366,0.799,0.5,0.0,1.0,0.9000244,0.0,0.5,0.0,0.0,0.0,1.0999985,2.0,1.0
FOODS_3_001_CA_1,2016-03-08,2016-02-28,0.634,0.0,0.0,0.9000015,1.0,0.049987793,0.83300006,0.0,0.049999237,0.0,1.8000488,1.0,0.69,1.0,0.0,0.0,2.0,2.0,0.0
FOODS_3_001_CA_1,2016-03-09,2016-02-28,0.632,1.0,0.0,0.9000015,1.0,0.099975586,0.731,1.0,1.9000015,0.9000015,0.9000244,1.0499878,0.61,0.0,0.0,0.0,2.0,2.0,1.0
FOODS_3_001_CA_1,2016-03-10,2016-02-28,0.675,0.0,2.9000015,0.9000015,0.9000244,0.049987793,0.781,0.0,0.14999771,0.0,0.19995117,0.9500122,0.5,0.0,0.0,0.0,1.0,2.0,0.0
FOODS_3_001_CA_1,2016-03-11,2016-02-28,0.66400003,1.0,0.0,0.0,0.0,0.049987793,0.754,0.5,1.9500008,0.9000015,0.099975586,1.0,0.75,1.0,0.0,0.0,2.0,2.0,0.0
FOODS_3_001_CA_1,2016-03-12,2016-02-28,0.671,1.0,0.049999237,0.0,1.8000488,0.0,0.80100006,1.5,0.049999237,0.099998474,0.9000244,0.049987793,0.72999996,0.5,0.0,0.0,2.0,2.0499954,0.0
